Price,adj close,close,high,low,open,volume
Ticker,es=f,es=f,es=f,es=f,es=f,es=f
Datetime,,,,,,
2025-11-21 08:05:00-05:00,6577.5,6577.5,6577.75,6573.75,6575.5,630
2025-11-21 08:06:00-05:00,6580.25,6580.25,6580.5,6574.5,6577.5,841
2025-11-21 08:07:00-05:00,6580.25,6580.25,6581.75,6578.75,6580.25,698
2025-11-21 08:08:00-05:00,6580.75,6580.75,6581.25,6577.75,6580.25,568
2025-11-21 08:09:00-05:00,6579.75,6579.75,6582.25,6578.25,6580.75,630
2025-11-21 08:10:00-05:00,6579.25,6579.25,6581.0,6577.25,6580.25,494
2025-11-21 08:11:00-05:00,6583.0,6583.0,6583.25,6579.5,6579.5,559
2025-11-21 08:12:00-05:00,6584.75,6584.75,6585.0,6582.5,6583.25,613
2025-11-21 08:13:00-05:00,6585.75,6585.75,6586.5,6583.25,6584.75,663
2025-11-21 08:14:00-05:00,6585.25,6585.25,6587.25,6584.75,6585.5,773
2025-11-21 08:15:00-05:00,6587.5,6587.5,6588.75,6584.25,6585.25,1534
2025-11-21 08:16:00-05:00,6589.25,6589.25,6590.25,6587.0,6587.75,891
2025-11-21 08:17:00-05:00,6592.5,6592.5,6593.5,6589.25,6589.5,1241
2025-11-21 08:18:00-05:00,6591.75,6591.75,6593.0,6590.5,6592.25,1231
2025-11-21 08:19:00-05:00,6594.75,6594.75,6595.0,6590.25,6591.5,1318
2025-11-21 08:20:00-05:00,6598.25,6598.25,6598.75,6592.25,6594.75,1634
2025-11-21 08:21:00-05:00,6597.75,6597.75,6598.5,6596.0,6598.25,1356
2025-11-21 08:22:00-05:00,6593.0,6593.0,6599.0,6593.0,6597.75,2236
2025-11-21 08:23:00-05:00,6594.25,6594.25,6595.75,6590.75,6593.25,1254
2025-11-21 08:24:00-05:00,6588.25,6588.25,6594.75,6588.0,6594.5,1263
2025-11-21 08:25:00-05:00,6585.0,6585.0,6589.5,6583.25,6588.5,2127
2025-11-21 08:26:00-05:00,6584.25,6584.25,6586.0,6580.75,6585.0,1726
2025-11-21 08:27:00-05:00,6586.5,6586.5,6588.25,6582.75,6584.5,619
2025-11-21 08:28:00-05:00,6584.25,6584.25,6587.5,6584.25,6586.75,506
2025-11-21 08:29:00-05:00,6581.25,6581.25,6585.75,6581.0,6584.75,940
2025-11-21 08:30:00-05:00,6587.0,6587.0,6587.25,6581.5,6581.75,825
2025-11-21 08:31:00-05:00,6587.5,6587.5,6588.0,6585.0,6587.0,798
2025-11-21 08:32:00-05:00,6584.0,6584.0,6587.5,6583.75,6587.25,590
2025-11-21 08:33:00-05:00,6585.0,6585.0,6585.5,6582.5,6584.0,663
2025-11-21 08:34:00-05:00,6585.5,6585.5,6586.75,6584.5,6585.25,438
2025-11-21 08:35:00-05:00,6590.75,6590.75,6591.75,6585.0,6585.5,1230
2025-11-21 08:36:00-05:00,6595.5,6595.5,6597.25,6590.75,6591.0,1242
2025-11-21 08:37:00-05:00,6593.5,6593.5,6595.25,6590.75,6595.25,553
2025-11-21 08:38:00-05:00,6594.0,6594.0,6596.75,6590.25,6593.0,1548
2025-11-21 08:39:00-05:00,6592.5,6592.5,6594.25,6592.25,6594.25,743
2025-11-21 08:40:00-05:00,6592.75,6592.75,6593.75,6591.0,6592.25,538
2025-11-21 08:41:00-05:00,6593.75,6593.75,6593.75,6591.25,6593.0,352
2025-11-21 08:42:00-05:00,6595.25,6595.25,6596.25,6593.25,6593.5,614
2025-11-21 08:43:00-05:00,6595.5,6595.5,6597.5,6594.0,6595.25,614
2025-11-21 08:44:00-05:00,6595.0,6595.0,6596.25,6593.25,6595.75,895
2025-11-21 08:45:00-05:00,6592.75,6592.75,6595.25,6592.25,6594.75,920
2025-11-21 08:46:00-05:00,6594.0,6594.0,6595.75,6592.5,6592.75,606
2025-11-21 08:47:00-05:00,6593.25,6593.25,6596.5,6593.25,6594.25,610
2025-11-21 08:48:00-05:00,6594.25,6594.25,6596.25,6591.75,6593.25,954
2025-11-21 08:49:00-05:00,6590.5,6590.5,6594.25,6588.75,6594.25,1058
2025-11-21 08:50:00-05:00,6590.25,6590.25,6591.75,6589.0,6590.25,906
2025-11-21 08:51:00-05:00,6590.0,6590.0,6592.25,6588.5,6590.25,978
2025-11-21 08:52:00-05:00,6589.5,6589.5,6590.75,6588.25,6590.25,648
2025-11-21 08:53:00-05:00,6592.0,6592.0,6592.25,6589.5,6589.5,621
2025-11-21 08:54:00-05:00,6592.5,6592.5,6594.0,6591.75,6592.0,839
2025-11-21 08:55:00-05:00,6590.75,6590.75,6593.25,6590.5,6592.5,599
2025-11-21 08:56:00-05:00,6589.25,6589.25,6592.5,6588.25,6591.0,888
2025-11-21 08:57:00-05:00,6588.75,6588.75,6589.75,6588.0,6589.5,410
2025-11-21 08:58:00-05:00,6589.0,6589.0,6589.5,6587.25,6588.75,648
2025-11-21 08:59:00-05:00,6590.75,6590.75,6591.75,6589.0,6589.25,614
2025-11-21 09:00:00-05:00,6589.25,6589.25,6592.0,6587.25,6590.5,2611
